dataset,policy,policy_label,threshold,true_positive,false_admission,false_negative,admitted,n_true,n_negative,recall,false_admission_rate,precision,review_rate,validation_debt_cost,debt_adjusted_utility,meets_false_constraint
BigVul,coverage_only,Coverage only,0.5263157894736842,293,4,4139,297,4432,8000,0.0661101083032491,0.0005,0.9865319865319865,0.02388996138996139,0.23616697099368578,-0.17005686269043668,True
BigVul,coverage_only,Coverage only,0.52,305,4,4127,309,4432,8000,0.06881768953068593,0.0005,0.9870550161812298,0.024855212355212354,0.23553833823508916,-0.16672064870440323,True
BigVul,coverage_only,Coverage only,0.5161290322580645,314,4,4118,318,4432,8000,0.07084837545126353,0.0005,0.9874213836477987,0.02557915057915058,0.23506686366614166,-0.16421848821487814,True
BigVul,coverage_only,Coverage only,0.4838709677419355,367,7,4065,374,4432,8000,0.08280685920577617,0.000875,0.9812834224598931,0.030083655083655084,0.23342746795273872,-0.15062060874696256,True
BigVul,coverage_only,Coverage only,0.48,380,7,4052,387,4432,8000,0.08574007220216606,0.000875,0.9819121447028424,0.03112934362934363,0.23274644913092565,-0.14700637692875962,True
BigVul,coverage_only,Coverage only,0.47368421052631576,404,9,4028,413,4432,8000,0.09115523465703972,0.001125,0.9782082324455206,0.03322072072072072,0.2322472273717761,-0.1410919927147364,True
BigVul,coverage_only,Coverage only,0.4666666666666667,420,9,4012,429,4432,8000,0.09476534296028881,0.001125,0.9790209790209791,0.03450772200772201,0.2314090503603139,-0.1366437074000251,True
BigVul,coverage_only,Coverage only,0.4594594594594595,441,9,3991,450,4432,8000,0.09950361010830325,0.001125,0.98,0.036196911196911194,0.23030894303276975,-0.13080533292446653,True
BigVul,coverage_only,Coverage only,0.45454545454545453,461,10,3971,471,4432,8000,0.10401624548736461,0.00125,0.9787685774946921,0.03788610038610039,0.22964024364746385,-0.12562399816009925,True
BigVul,coverage_only,Coverage only,0.4482758620689655,477,10,3955,487,4432,8000,0.10762635379061372,0.00125,0.9794661190965093,0.03917310167310167,0.22880206663600167,-0.12117571284538795,True
BigVul,coverage_only,Coverage only,0.4418604651162791,500,10,3932,510,4432,8000,0.11281588447653429,0.00125,0.9803921568627451,0.041023166023166024,0.2275971871820247,-0.11478130270549043,True
BigVul,coverage_only,Coverage only,0.4375,521,11,3911,532,4432,8000,0.11755415162454874,0.001375,0.9793233082706767,0.04279279279279279,0.22687610173350245,-0.10932195010895372,True
BigVul,coverage_only,Coverage only,0.43243243243243246,533,11,3899,544,4432,8000,0.12026173285198556,0.001375,0.9797794117647058,0.043758043758043756,0.22624746897490577,-0.10598573612292023,True
BigVul,coverage_only,Coverage only,0.42424242424242425,562,12,3870,574,4432,8000,0.12680505415162455,0.0015,0.9790940766550522,0.04617117117117117,0.2251072950206524,-0.09830224086902788,True
BigVul,coverage_only,Coverage only,0.41935483870967744,577,12,3855,589,4432,8000,0.13018953068592057,0.0015,0.9796264855687606,0.047377734877734876,0.2243215040724066,-0.09413197338648605,True
BigVul,coverage_only,Coverage only,0.41379310344827586,614,13,3818,627,4432,8000,0.1385379061371841,0.001625,0.9792663476874003,0.05043436293436294,0.2227622416124221,-0.084224335475238,True
BigVul,coverage_only,Coverage only,0.4090909090909091,630,13,3802,643,4432,8000,0.1421480144404332,0.001625,0.9797822706065319,0.051721364221364224,0.2219240646009599,-0.07977605016052669,True
BigVul,coverage_only,Coverage only,0.40625,644,13,3788,657,4432,8000,0.14530685920577618,0.001625,0.9802130898021308,0.052847490347490346,0.22119065971593044,-0.07588380051015427,True
BigVul,coverage_only,Coverage only,0.4,692,13,3740,705,4432,8000,0.15613718411552346,0.001625,0.9815602836879432,0.056708494208494206,0.21867612868154385,-0.06253894456602037,True
