dataset,false_cost,miss_cost,review_cost,alpha,selected_policy,selected_policy_label,threshold,recall,false_admission_rate,precision,review_rate,utility
BigVul,0.5,1.0,0.05,0.3,coverage_only,Coverage only,0.073170731707317,0.7824909747292419,0.2785,0.6088483146067416,0.4581724581724581,0.4028233265498609
BigVul,0.5,1.0,0.1,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.1830116541567354
BigVul,0.5,1.0,0.1,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.2774569586347564
BigVul,0.5,1.0,0.1,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.3207881271227391
BigVul,0.5,1.0,0.1,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.3529283428929186
BigVul,0.5,1.0,0.1,0.3,coverage_only,Coverage only,0.073170731707317,0.7824909747292419,0.2785,0.6088483146067416,0.4581724581724581,0.37991470364123797
BigVul,0.5,1.0,0.2,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.157858822753904
BigVul,0.5,1.0,0.2,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.2473733035511013
BigVul,0.5,1.0,0.2,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.2858621296967417
BigVul,0.5,1.0,0.2,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.3134656659302416
BigVul,0.5,1.0,0.2,0.3,coverage_only,Coverage only,0.073170731707317,0.7824909747292419,0.2785,0.6088483146067416,0.4581724581724581,0.3340974578239922
BigVul,1.0,0.0,0.0,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5670509927797833
BigVul,1.0,0.0,0.0,0.1,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5861286101083032
BigVul,1.0,0.0,0.0,0.15,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5861286101083032
BigVul,1.0,0.0,0.0,0.2,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5861286101083032
BigVul,1.0,0.0,0.0,0.3,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5861286101083032
BigVul,1.0,0.0,0.02,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.562020426499217
BigVul,1.0,0.0,0.02,0.1,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5804320206617137
BigVul,1.0,0.0,0.02,0.15,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5804320206617137
BigVul,1.0,0.0,0.02,0.2,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5804320206617137
BigVul,1.0,0.0,0.02,0.3,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5804320206617137
BigVul,1.0,0.0,0.05,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5544745770783677
BigVul,1.0,0.0,0.05,0.1,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5718871364918295
BigVul,1.0,0.0,0.05,0.15,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5718871364918295
BigVul,1.0,0.0,0.05,0.2,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5718871364918295
BigVul,1.0,0.0,0.05,0.3,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.5718871364918295
BigVul,1.0,0.0,0.1,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5418981613769519
BigVul,1.0,0.0,0.1,0.1,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.557645662875356
BigVul,1.0,0.0,0.1,0.15,coverage_only,Coverage only,0.1379310344827586,0.6620036101083032,0.075875,0.8285794973171421,0.2848294723294723,0.557645662875356
