negative_mode,policy,policy_label,threshold,true_positive,false_admission,false_negative,admitted,n_true,n_negative,recall,false_admission_rate,precision,review_rate,debt_adjusted_utility,meets_false_constraint
same_cwe_different_cve,coverage_only,Coverage only,0.9923664122137404,4114,0,1840,4114,5954,5954,0.6909640577762849,0.0,1.0,0.34548202888814245,0.596430970775949,True
same_cwe_different_cve,coverage_only,Coverage only,0.9918032786885246,4152,0,1802,4152,5954,5954,0.6973463218004703,0.0,1.0,0.34867316090023515,0.6042492442055761,True
same_cwe_different_cve,coverage_only,Coverage only,0.9911504424778761,4192,0,1762,4192,5954,5954,0.7040644944575075,0.0,1.0,0.35203224722875376,0.6124790057104468,True
same_cwe_different_cve,coverage_only,Coverage only,0.9904306220095693,4256,0,1698,4256,5954,5954,0.7148135707087672,0.0,1.0,0.3574067853543836,0.6256466241182398,True
same_cwe_different_cve,coverage_only,Coverage only,0.9895833333333334,4343,0,1611,4343,5954,5954,0.7294255962378233,0.0,1.0,0.36471279811891166,0.6435463553913336,True
same_cwe_different_cve,coverage_only,Coverage only,0.9886363636363636,4419,0,1535,4419,5954,5954,0.7421901242861941,0.0,1.0,0.37109506214309707,0.6591829022505878,True
same_cwe_different_cve,coverage_only,Coverage only,0.9875776397515528,4491,0,1463,4491,5954,5954,0.7542828350688613,0.0,1.0,0.37714141753443065,0.673996472959355,True
same_cwe_different_cve,coverage_only,Coverage only,0.9863013698630136,4570,0,1384,4570,5954,5954,0.7675512260665099,0.0,1.0,0.38377561303325497,0.6902502519314747,True
same_cwe_different_cve,coverage_only,Coverage only,0.9850746268656716,4623,0,1331,4623,5954,5954,0.7764528048370843,0.0,1.0,0.38822640241854217,0.7011546859254283,True
same_cwe_different_cve,coverage_only,Coverage only,0.9831932773109243,4679,0,1275,4679,5954,5954,0.7858582465569365,0.0,1.0,0.39292912327846824,0.7126763520322471,True
same_cwe_different_cve,coverage_only,Coverage only,0.9818181818181818,4731,0,1223,4731,5954,5954,0.794591871011085,0.0,1.0,0.3972959355055425,0.7233750419885792,True
same_cwe_different_cve,coverage_only,Coverage only,0.9798657718120806,4780,0,1174,4780,5954,5954,0.8028216325159556,0.0,1.0,0.4014108162579778,0.7334564998320456,True
same_cwe_different_cve,coverage_only,Coverage only,0.9770114942528736,4837,1,1117,4838,5954,5954,0.8123950285522338,0.00016795431642593214,0.9997933030177759,0.40628149143432984,0.7446758481692979,True
same_cwe_different_cve,coverage_only,Coverage only,0.9743589743589743,4906,1,1048,4907,5954,5954,0.8239838763856231,0.00016795431642593214,0.9997962094966375,0.4120759153510245,0.7588721867651999,True
same_cwe_different_cve,coverage_only,Coverage only,0.971830985915493,4956,1,998,4957,5954,5954,0.8323815922069198,0.00016795431642593214,0.9997982650796853,0.41627477326167284,0.7691593886462882,True
same_cwe_different_cve,coverage_only,Coverage only,0.9692307692307692,5002,1,952,5003,5954,5954,0.8401074907625126,0.00016795431642593214,0.9998001199280432,0.42013772253946924,0.7786236143768894,True
same_cwe_different_cve,coverage_only,Coverage only,0.9662921348314607,5049,1,905,5050,5954,5954,0.8480013436345314,0.00016795431642593214,0.9998019801980198,0.42408464897547865,0.7882935841451125,True
same_cwe_different_cve,coverage_only,Coverage only,0.9629629629629629,5102,1,852,5103,5954,5954,0.8569029224051058,0.00016795431642593214,0.9998040368410739,0.42853543836076585,0.7991980181390661,True
same_cwe_different_cve,coverage_only,Coverage only,0.9595959595959596,5150,1,804,5151,5954,5954,0.8649647295935505,0.00016795431642593214,0.9998058629392351,0.4325663419549882,0.809073731944911,True
same_cwe_different_cve,coverage_only,Coverage only,0.9557522123893806,5183,1,771,5184,5954,5954,0.8705072220356063,0.00016795431642593214,0.9998070987654321,0.43533758817601614,0.8158632851864291,True
same_cwe_different_cve,coverage_only,Coverage only,0.9512195121951219,5240,1,714,5241,5954,5954,0.8800806180718844,0.00016795431642593214,0.9998091967181836,0.44012428619415517,0.8275906953308699,True
same_cwe_different_cve,coverage_only,Coverage only,0.9452054794520548,5298,1,656,5299,5954,5954,0.8898219684245885,0.00016795431642593214,0.9998112851481411,0.4449949613705072,0.8395238495129325,True
same_cwe_different_cve,coverage_only,Coverage only,0.9411764705882353,5344,1,610,5345,5954,5954,0.8975478669801814,0.00016795431642593214,0.9998129092609915,0.44885791064830366,0.8489880752435337,True
same_cwe_different_cve,coverage_only,Coverage only,0.9354838709677419,5376,2,578,5378,5954,5954,0.9029224051058112,0.0003359086328518643,0.9996281145407214,0.4516291568693315,0.8550638226402419,True
same_cwe_different_cve,coverage_only,Coverage only,0.9298245614035088,5407,2,547,5409,5954,5954,0.9081289889150151,0.0003359086328518643,0.9996302458864855,0.4542324487739335,0.8614418878065166,True
same_cwe_different_cve,coverage_only,Coverage only,0.9253731343283582,5430,2,524,5432,5954,5954,0.9119919381928115,0.0003359086328518643,0.9996318114874816,0.4561639234128317,0.8661740006718173,True
same_cwe_different_cve,coverage_only,Coverage only,0.918918918918919,5464,2,490,5466,5954,5954,0.9177023849512932,0.0003359086328518643,0.9996341017197219,0.45901914679207256,0.8731692979509573,True
