dataset,trial,policy,control_mode,n_pairs,false_admissions,false_admission_rate
CVEfixes,64,risk_score_tuned,same_category_different_cve,1500,731,0.48733333333333334
CVEfixes,64,coverage_only_tuned,same_category_different_cve,1500,67,0.04466666666666667
CVEfixes,64,random_at_mddc_recall,same_category_different_cve,1500,733,0.4886666666666667
CVEfixes,65,mddc_strict_gate,same_category_different_cve,1500,220,0.14666666666666667
CVEfixes,65,risk_score_tuned,same_category_different_cve,1500,753,0.502
CVEfixes,65,coverage_only_tuned,same_category_different_cve,1500,84,0.056
CVEfixes,65,random_at_mddc_recall,same_category_different_cve,1500,736,0.49066666666666664
CVEfixes,66,mddc_strict_gate,same_category_different_cve,1500,199,0.13266666666666665
CVEfixes,66,risk_score_tuned,same_category_different_cve,1500,743,0.49533333333333335
CVEfixes,66,coverage_only_tuned,same_category_different_cve,1500,66,0.044
CVEfixes,66,random_at_mddc_recall,same_category_different_cve,1500,725,0.48333333333333334
CVEfixes,67,mddc_strict_gate,same_category_different_cve,1500,219,0.146
CVEfixes,67,risk_score_tuned,same_category_different_cve,1500,757,0.5046666666666667
CVEfixes,67,coverage_only_tuned,same_category_different_cve,1500,82,0.05466666666666667
CVEfixes,67,random_at_mddc_recall,same_category_different_cve,1500,737,0.49133333333333334
CVEfixes,68,mddc_strict_gate,same_category_different_cve,1500,203,0.13533333333333333
CVEfixes,68,risk_score_tuned,same_category_different_cve,1500,740,0.49333333333333335
CVEfixes,68,coverage_only_tuned,same_category_different_cve,1500,66,0.044
CVEfixes,68,random_at_mddc_recall,same_category_different_cve,1500,743,0.49533333333333335
CVEfixes,69,mddc_strict_gate,same_category_different_cve,1500,206,0.13733333333333334
CVEfixes,69,risk_score_tuned,same_category_different_cve,1500,743,0.49533333333333335
CVEfixes,69,coverage_only_tuned,same_category_different_cve,1500,78,0.052
CVEfixes,69,random_at_mddc_recall,same_category_different_cve,1500,716,0.47733333333333333
CVEfixes,70,mddc_strict_gate,same_category_different_cve,1500,196,0.13066666666666665
CVEfixes,70,risk_score_tuned,same_category_different_cve,1500,736,0.49066666666666664
CVEfixes,70,coverage_only_tuned,same_category_different_cve,1500,82,0.05466666666666667
CVEfixes,70,random_at_mddc_recall,same_category_different_cve,1500,759,0.506
CVEfixes,71,mddc_strict_gate,same_category_different_cve,1500,195,0.13
CVEfixes,71,risk_score_tuned,same_category_different_cve,1500,698,0.4653333333333333
CVEfixes,71,coverage_only_tuned,same_category_different_cve,1500,63,0.042
CVEfixes,71,random_at_mddc_recall,same_category_different_cve,1500,713,0.47533333333333333
CVEfixes,72,mddc_strict_gate,same_category_different_cve,1500,224,0.14933333333333335
CVEfixes,72,risk_score_tuned,same_category_different_cve,1500,760,0.5066666666666667
CVEfixes,72,coverage_only_tuned,same_category_different_cve,1500,92,0.06133333333333333
CVEfixes,72,random_at_mddc_recall,same_category_different_cve,1500,746,0.49733333333333335
CVEfixes,73,mddc_strict_gate,same_category_different_cve,1500,169,0.11266666666666666
CVEfixes,73,risk_score_tuned,same_category_different_cve,1500,730,0.4866666666666667
CVEfixes,73,coverage_only_tuned,same_category_different_cve,1500,73,0.048666666666666664
CVEfixes,73,random_at_mddc_recall,same_category_different_cve,1500,759,0.506
CVEfixes,74,mddc_strict_gate,same_category_different_cve,1500,189,0.126
CVEfixes,74,risk_score_tuned,same_category_different_cve,1500,735,0.49
CVEfixes,74,coverage_only_tuned,same_category_different_cve,1500,78,0.052
CVEfixes,74,random_at_mddc_recall,same_category_different_cve,1500,730,0.4866666666666667
CVEfixes,75,mddc_strict_gate,same_category_different_cve,1500,197,0.13133333333333333
CVEfixes,75,risk_score_tuned,same_category_different_cve,1500,723,0.482
CVEfixes,75,coverage_only_tuned,same_category_different_cve,1500,74,0.04933333333333333
CVEfixes,75,random_at_mddc_recall,same_category_different_cve,1500,722,0.48133333333333334
CVEfixes,76,mddc_strict_gate,same_category_different_cve,1500,197,0.13133333333333333
CVEfixes,76,risk_score_tuned,same_category_different_cve,1500,757,0.5046666666666667
CVEfixes,76,coverage_only_tuned,same_category_different_cve,1500,74,0.04933333333333333
CVEfixes,76,random_at_mddc_recall,same_category_different_cve,1500,694,0.46266666666666667
CVEfixes,77,mddc_strict_gate,same_category_different_cve,1500,216,0.144
CVEfixes,77,risk_score_tuned,same_category_different_cve,1500,725,0.48333333333333334
CVEfixes,77,coverage_only_tuned,same_category_different_cve,1500,79,0.05266666666666667
CVEfixes,77,random_at_mddc_recall,same_category_different_cve,1500,714,0.476
CVEfixes,78,mddc_strict_gate,same_category_different_cve,1500,208,0.13866666666666666
CVEfixes,78,risk_score_tuned,same_category_different_cve,1500,745,0.49666666666666665
CVEfixes,78,coverage_only_tuned,same_category_different_cve,1500,78,0.052
CVEfixes,78,random_at_mddc_recall,same_category_different_cve,1500,722,0.48133333333333334
CVEfixes,79,mddc_strict_gate,same_category_different_cve,1500,193,0.12866666666666668
CVEfixes,79,risk_score_tuned,same_category_different_cve,1500,749,0.49933333333333335
CVEfixes,79,coverage_only_tuned,same_category_different_cve,1500,69,0.046
CVEfixes,79,random_at_mddc_recall,same_category_different_cve,1500,744,0.496
CVEfixes,80,mddc_strict_gate,same_category_different_cve,1500,202,0.13466666666666666
CVEfixes,80,risk_score_tuned,same_category_different_cve,1500,749,0.49933333333333335
CVEfixes,80,coverage_only_tuned,same_category_different_cve,1500,63,0.042
CVEfixes,80,random_at_mddc_recall,same_category_different_cve,1500,722,0.48133333333333334
CVEfixes,81,mddc_strict_gate,same_category_different_cve,1500,195,0.13
CVEfixes,81,risk_score_tuned,same_category_different_cve,1500,748,0.49866666666666665
CVEfixes,81,coverage_only_tuned,same_category_different_cve,1500,79,0.05266666666666667
CVEfixes,81,random_at_mddc_recall,same_category_different_cve,1500,766,0.5106666666666667
CVEfixes,82,mddc_strict_gate,same_category_different_cve,1500,205,0.13666666666666666
CVEfixes,82,risk_score_tuned,same_category_different_cve,1500,736,0.49066666666666664
CVEfixes,82,coverage_only_tuned,same_category_different_cve,1500,67,0.04466666666666667
CVEfixes,82,random_at_mddc_recall,same_category_different_cve,1500,741,0.494
CVEfixes,83,mddc_strict_gate,same_category_different_cve,1500,219,0.146
CVEfixes,83,risk_score_tuned,same_category_different_cve,1500,700,0.4666666666666667
CVEfixes,83,coverage_only_tuned,same_category_different_cve,1500,96,0.064
CVEfixes,83,random_at_mddc_recall,same_category_different_cve,1500,737,0.49133333333333334
CVEfixes,84,mddc_strict_gate,same_category_different_cve,1500,199,0.13266666666666665
CVEfixes,84,risk_score_tuned,same_category_different_cve,1500,737,0.49133333333333334
CVEfixes,84,coverage_only_tuned,same_category_different_cve,1500,71,0.04733333333333333
CVEfixes,84,random_at_mddc_recall,same_category_different_cve,1500,729,0.486
CVEfixes,85,mddc_strict_gate,same_category_different_cve,1500,216,0.144
CVEfixes,85,risk_score_tuned,same_category_different_cve,1500,750,0.5
