mode,trial,n_pairs,structural_only_admitted,category_gate_admitted,strict_mddc_gate_admitted
any_deranged,183,1500,1246,564,109
cross_category,183,1500,1210,515,86
same_category_different_cve,183,1500,1262,1014,221
any_deranged,184,1500,1187,563,107
cross_category,184,1500,1183,487,95
same_category_different_cve,184,1500,1250,1018,203
any_deranged,185,1500,1216,558,91
cross_category,185,1500,1190,526,78
same_category_different_cve,185,1500,1210,943,206
any_deranged,186,1500,1254,560,98
cross_category,186,1500,1183,498,96
same_category_different_cve,186,1500,1231,998,200
any_deranged,187,1500,1215,527,76
cross_category,187,1500,1214,523,94
same_category_different_cve,187,1500,1229,970,238
any_deranged,188,1500,1222,549,95
cross_category,188,1500,1219,505,100
same_category_different_cve,188,1500,1224,967,210
any_deranged,189,1500,1200,555,93
cross_category,189,1500,1173,509,103
same_category_different_cve,189,1500,1236,981,221
any_deranged,190,1500,1220,550,101
cross_category,190,1500,1217,496,103
same_category_different_cve,190,1500,1213,970,221
any_deranged,191,1500,1259,560,93
cross_category,191,1500,1202,476,81
same_category_different_cve,191,1500,1252,987,209
any_deranged,192,1500,1231,538,85
cross_category,192,1500,1199,517,84
same_category_different_cve,192,1500,1241,974,196
any_deranged,193,1500,1214,537,107
cross_category,193,1500,1178,479,103
same_category_different_cve,193,1500,1243,968,209
any_deranged,194,1500,1223,532,94
cross_category,194,1500,1168,511,87
same_category_different_cve,194,1500,1252,981,198
any_deranged,195,1500,1198,559,110
cross_category,195,1500,1188,538,92
same_category_different_cve,195,1500,1240,961,204
any_deranged,196,1500,1239,542,102
cross_category,196,1500,1198,482,86
same_category_different_cve,196,1500,1238,964,218
any_deranged,197,1500,1220,547,94
cross_category,197,1500,1191,484,87
same_category_different_cve,197,1500,1243,972,219
any_deranged,198,1500,1240,559,94
cross_category,198,1500,1198,518,96
same_category_different_cve,198,1500,1228,964,203
any_deranged,199,1500,1241,553,93
cross_category,199,1500,1207,489,86
same_category_different_cve,199,1500,1240,979,216
